block,index,ax_raw,ay_raw,az_raw
1,141,8185,-159,-612
1,142,8181,-156,-612
1,143,8170,-161,-599
1,144,8182,-162,-598
1,145,8183,-166,-608
1,146,8198,-159,-613
1,147,8202,-159,-612
1,148,8193,-156,-603
1,149,8197,-157,-599
1,150,8193,-149,-598
1,151,8200,-170,-601
1,152,8206,-159,-580
1,153,8202,-160,-582
1,154,8185,-173,-590
1,155,8173,-157,-579
1,156,8174,-159,-608
1,157,8167,-150,-592
1,158,8173,-150,-579
1,159,8180,-141,-578
1,160,8193,-135,-591
1,161,8188,-146,-591
1,162,8191,-148,-593
1,163,8180,-164,-591
1,164,8189,-181,-596
1,165,8192,-175,-601
1,166,8188,-176,-619
1,167,8196,-165,-614
1,168,8191,-157,-601
1,169,8187,-162,-617
1,170,8188,-158,-611
1,171,8187,-156,-606
1,172,8195,-154,-608
1,173,8188,-144,-594
1,174,8195,-159,-601
1,175,8190,-163,-618
1,176,8190,-165,-621
1,177,8186,-165,-614
1,178,8188,-149,-605
1,179,8198,-148,-585
1,180,8190,-149,-578
1,181,8184,-165,-589
1,182,8185,-151,-575
1,183,8190,-160,-579
1,184,8185,-173,-603
1,185,8187,-164,-604
1,186,8178,-157,-612
1,187,8186,-156,-593
1,188,8190,-154,-589
1,189,8213,-160,-605
1,190,8208,-151,-606
1,191,8195,-145,-595
1,192,8191,-139,-602
1,193,8187,-144,-599
1,194,8186,-150,-588
1,195,8175,-143,-593
1,196,8174,-142,-596
1,197,8182,-154,-579
1,198,8182,-161,-573
1,199,8187,-164,-576
1,200,8187,-152,-577
1,201,8182,-150,-565
1,202,8184,-151,-579
1,203,8184,-160,-579
1,204,8169,-159,-597
1,205,8172,-148,-603
1,206,8184,-142,-602
1,207,8192,-149,-605
1,208,8180,-145,-578
1,209,8183,-157,-558
1,210,8181,-141,-569
1,211,8184,-137,-580
1,212,8184,-146,-596
1,213,8178,-152,-600
1,214,8174,-144,-617
1,215,8185,-151,-603
1,216,8179,-149,-603
1,217,8183,-150,-614
1,218,8187,-148,-615
1,219,8195,-136,-614
1,220,8180,-139,-607
1,221,8186,-144,-597
1,222,8186,-140,-609
1,223,8172,-141,-612
1,224,8179,-139,-611
1,225,8181,-135,-615
1,226,8170,-155,-605
1,227,8166,-160,-608
1,228,8178,-149,-585
1,229,8176,-152,-583
1,230,8178,-154,-584
1,231,8180,-142,-587
1,232,8191,-153,-590
1,233,8190,-160,-592
1,234,8192,-157,-591
1,235,8172,-154,-587
1,236,8166,-146,-615
1,237,8167,-142,-592
1,238,8177,-145,-588
1,239,8183,-132,-575
1,240,8189,-139,-581
1,241,8196,-131,-593
1,242,8200,-139,-592
1,243,8188,-149,-601
1,244,8194,-147,-608
1,245,8187,-138,-639
1,246,8188,-155,-637
1,247,8176,-168,-617
1,248,8172,-172,-612
1,249,8168,-167,-585
1,250,8175,-167,-584
1,251,8186,-166,-601
1,252,8188,-152,-601
1,253,8180,-135,-594
1,254,8176,-149,-596
1,255,8183,-137,-589
1,256,8181,-155,-591
1,257,8187,-159,-594
1,258,8185,-166,-591
1,259,8194,-165,-617
1,260,8192,-164,-625
1,261,8209,-147,-617
1,262,8193,-152,-605
1,263,8190,-162,-619
1,264,8202,-157,-619
1,265,8195,-147,-613
1,266,8198,-148,-616
1,267,8199,-160,-611
1,268,8194,-176,-597
1,269,8198,-157,-581
1,270,8193,-140,-583
1,271,8187,-140,-573
1,272,8180,-136,-586
1,273,8183,-136,-595
1,274,8187,-135,-579
1,275,8196,-139,-565
1,276,8201,-147,-576
1,277,8190,-137,-588
1,278,8176,-137,-603
1,279,8182,-145,-598
1,280,8188,-152,-579
1,281,8192,-156,-589
1,282,8186,-152,-610
1,283,8193,-149,-594
1,284,8194,-144,-602
1,285,8198,-144,-607
1,286,8205,-147,-613
1,287,8204,-146,-603
1,288,8193,-135,-613
1,289,8210,-175,-596
1,290,8195,-173,-597
1,291,8151,-125,-580
1,292,8216,-176,-598
1,293,8191,-180,-597
1,294,8198,-166,-609
1,295,8163,-141,-621
1,296,8187,-186,-625
1,297,8183,-179,-608
1,298,8150,-134,-594
1,299,8184,-154,-622
1,300,8194,-174,-611
1,301,8180,-160,-620
1,302,8179,-135,-634
1,303,8176,-148,-612
1,304,8197,-154,-609
1,305,8191,-153,-587
1,306,8199,-143,-578
1,307,8204,-157,-585
1,308,8187,-163,-570
1,309,8188,-129,-576
1,310,8194,-158,-589
1,311,8180,-170,-591
1,312,8183,-158,-604
1,313,8197,-163,-606
1,314,8199,-170,-586
1,315,8193,-161,-589
1,316,8207,-148,-582
1,317,8200,-165,-608
1,318,8192,-153,-617
1,319,8202,-161,-596
1,320,8196,-161,-621
1,321,8194,-143,-603
1,322,8188,-150,-595
1,323,8194,-162,-614
1,324,8166,-131,-608
1,325,8174,-140,-601
1,326,8186,-163,-600
1,327,8174,-157,-593
1,328,8181,-152,-598
1,329,8170,-152,-587
1,330,8200,-176,-611
1,331,8187,-165,-608
1,332,8186,-144,-625
1,333,8203,-165,-637
1,334,8181,-165,-632
1,335,8198,-157,-615
1,336,8188,-142,-594
1,337,8186,-142,-594
1,338,8195,-156,-606
1,339,8197,-152,-615
1,340,8207,-142,-627
1,341,8193,-152,-617
1,342,8182,-162,-596
1,343,8205,-147,-603
1,344,8195,-155,-586
1,345,8197,-152,-573
1,346,8203,-133,-590
1,347,8198,-160,-582
1,348,8201,-170,-582
1,349,8194,-154,-607
1,350,8197,-146,-603
1,351,8204,-159,-598
1,352,8190,-157,-582
1,353,8186,-154,-570
1,354,8209,-176,-576
1,355,8197,-173,-610
1,356,8199,-171,-608
1,357,8190,-162,-604
1,358,8195,-162,-599
1,359,8198,-155,-590
1,360,8195,-147,-595
1,361,8202,-154,-607
1,362,8189,-149,-609
1,363,8183,-155,-612
1,364,8184,-153,-605
1,365,8187,-147,-601
1,366,8189,-156,-604
1,367,8189,-161,-593
1,368,8198,-163,-616
1,369,8200,-160,-627
1,370,8196,-159,-641
1,371,8186,-159,-647
1,372,8190,-167,-631
1,373,8188,-161,-635
1,374,8186,-150,-615
1,375,8199,-161,-605
1,376,8193,-178,-608
1,377,8176,-168,-602
1,378,8175,-157,-588
1,379,8180,-165,-594
1,380,8183,-155,-615
1,381,8189,-165,-621
1,382,8174,-167,-618
1,383,8178,-179,-606
1,384,8182,-185,-591
1,385,8188,-163,-603
1,386,8197,-149,-577
1,387,8187,-151,-589
1,388,8189,-152,-598
1,389,8193,-147,-600
1,390,8187,-157,-598
1,391,8187,-161,-609
1,392,8197,-177,-602
1,393,8203,-189,-601
1,394,8193,-172,-601
1,395,8194,-165,-604
1,396,8191,-153,-592
1,397,8201,-157,-625
1,398,8198,-160,-621
1,399,8184,-153,-586
1,400,8188,-155,-593
1,401,8187,-151,-595
1,402,8181,-160,-584
1,403,8195,-162,-593
1,404,8177,-148,-603
1,405,8182,-156,-631
1,406,8180,-152,-622
1,407,8180,-149,-609
1,408,8184,-156,-594
1,409,8191,-168,-586
1,410,8190,-175,-571
1,411,8195,-167,-573
1,412,8195,-151,-559
1,413,8191,-152,-562
1,414,8186,-153,-584
1,415,8190,-139,-602
1,416,8198,-151,-607
1,417,8192,-162,-610
1,418,8179,-158,-604
1,419,8173,-153,-587
1,420,8193,-156,-575
1,421,8195,-147,-571
1,422,8200,-149,-589
1,423,8201,-149,-596
1,424,8209,-150,-593
1,425,8198,-158,-600
1,426,8198,-156,-590
1,427,8194,-160,-574
1,428,8180,-148,-585
1,429,8190,-173,-599
1,430,8183,-118,-603
1,431,8192,-182,-567
1,432,8180,-141,-633
1,433,8171,-162,-561
1,434,8316,-268,-670
1,435,8011,19,-577
1,436,8294,-184,-700
1,437,8107,-147,-595
1,438,8216,-184,-608
1,439,8222,-136,-625
1,440,8141,-149,-620
1,441,8244,-169,-685
1,442,8145,-149,-603
1,443,8143,-138,-603
1,444,8257,-154,-573
1,445,8152,-156,-584
1,446,8242,-124,-636
1,447,8137,-137,-617
1,448,8207,-221,-602
1,449,8173,-161,-566
1,450,8194,-172,-584
1,451,8194,-135,-590
1,452,8202,-162,-593
1,453,8212,-189,-569
1,454,8222,-169,-589
1,455,8167,-136,-605
1,456,8197,-132,-640
1,457,8194,-193,-641
1,458,8191,-179,-595
1,459,8180,-166,-540
1,460,8211,-199,-567
1,461,8201,-164,-607
1,462,8179,-165,-637
1,463,8184,-137,-608
1,464,8164,-170,-619
1,465,8209,-152,-618
1,466,8200,-135,-630
1,467,8197,-165,-609
1,468,8194,-163,-593
1,469,8158,-154,-563
1,470,8180,-171,-575
1,471,8201,-163,-601
1,472,8181,-156,-629
1,473,8182,-124,-621
1,474,8162,-133,-615
1,475,8170,-147,-582
1,476,8222,-182,-599
1,477,8172,-121,-599
1,478,8201,-132,-615
1,479,8189,-170,-631
1,480,8201,-180,-606
1,481,8199,-165,-607
1,482,8202,-144,-584
1,483,8195,-155,-584
1,484,8190,-178,-561
1,485,8198,-187,-563
1,486,8208,-173,-580
1,487,8194,-169,-595
1,488,8198,-171,-625
1,489,8195,-181,-642
1,490,8188,-164,-616
1,491,8179,-155,-594
1,492,8192,-134,-603
1,493,8185,-139,-605
1,494,8188,-141,-614
1,495,8193,-140,-620
1,496,8198,-146,-617
1,497,8186,-154,-610
1,498,8191,-168,-605
1,499,8200,-154,-601
1,500,8196,-157,-588
1,501,8181,-157,-580
1,502,8180,-152,-606
1,503,8185,-151,-619
1,504,8191,-161,-626
1,505,8199,-158,-620
1,506,8197,-168,-613
1,507,8191,-171,-578
1,508,8199,-161,-582
1,509,8194,-156,-595
1,510,8196,-164,-609
1,511,8200,-166,-615
1,512,8210,-170,-612
1,513,8190,-151,-600
1,514,8193,-141,-590
1,515,8192,-168,-603
1,516,8191,-170,-604
1,517,8178,-145,-593
1,518,8198,-153,-591
1,519,8212,-143,-584
1,520,8206,-154,-596
1,521,8205,-161,-597
1,522,8189,-161,-578
1,523,8195,-163,-566
1,524,8202,-161,-576
1,525,8202,-159,-586
1,526,8205,-147,-608
1,527,8184,-148,-638
1,528,8191,-147,-625
1,529,8182,-147,-616
1,530,8178,-155,-620
1,531,8196,-149,-600
1,532,8192,-153,-598
1,533,8186,-149,-605
1,534,8184,-142,-602
1,535,8185,-144,-599
1,536,8180,-148,-603
1,537,8200,-146,-611
1,538,8192,-154,-607
1,539,8191,-149,-594
1,540,8188,-166,-593
1,541,8184,-161,-594
1,542,8179,-154,-607
1,543,8186,-161,-613
1,544,8194,-162,-611
1,545,8187,-138,-607
1,546,8184,-149,-612
1,547,8191,-152,-617
1,548,8197,-153,-609
1,549,8189,-171,-605
1,550,8182,-171,-608
1,551,8183,-154,-601
1,552,8178,-145,-602
1,553,8187,-155,-591
1,554,8190,-162,-585
1,555,8193,-149,-578
1,556,8191,-143,-571
1,557,8186,-141,-591
1,558,8192,-134,-612
1,559,8193,-147,-615
1,560,8188,-162,-619
1,561,8196,-164,-601
1,562,8199,-162,-594
